"","# Factors","Prop Var","AIC","BIC","CFI"
"1",1,0.323900840227342,3734.88036563348,3793.42543933662,0.462792845888276
"2",2,0.154537785145515,3630.13175030433,3715.02210717389,0.724233669989931
"3",3,0.126132286989012,3554.42415037123,3662.73253672205,0.916627958454473
"4",4,0.118283570292224,3537.29745538755,3666.09661753447,0.972080967716434
"5",5,0.0770758038134278,3527.48386022376,3673.84654448162,1
"6",6,0.0682038017108067,3536.19953105909,3697.19848374274,0.999886944054696
